abbr,cir_cap,cir_val,code,main_scope,net_profit,tot_cap,tot_val
值得买,1333.33,245640.01,a300785,"信息推广80.22%,互联网效19.64%,海淘代购0.14%", 1898.58,5333.33,982560.01
拉卡拉,17084.96,1225845.72,a300773,"收单业务89.29%,硬件销售8.49%,个人支付1.90%,其他衍生0.32%", 16820.00,40001.00,2870071.75
新媒股份,7173.90,1266766.57,a300770,"IPTV75.85%,互联网电15.66%,省外专网5.46%,有线电视3.02%", 14366.71,12836.56,2266680.42
迪普科技,14332.71,629922.52,a300768,"总计50.00%,政府19.47%,运营商14.73%,公共事业9.44%,金融1.24%,其他5.13%", 3964.65,40001.00,1758043.95
每日互动,30950.31,899725.61,a300766,"移动应用62.17%,移动互联19.72%,数据服务18.11%", 3361.28,40010.00,1163090.70
奥飞数据,10243.66,482783.51,a300738,信息传输100.00%, 6413.59,19971.40,941251.89
科创信息,8436.96,107908.70,a300730,信息技术100.00%, -1572.38,15800.82,202092.49
朗新科技,25807.57,442599.88,a300682,"电力行业81.51%,非电力行18.49%", 3483.94,102070.33,1750506.22
中科信息,10712.70,236857.80,a300678,"数字会议0.00%,烟草行业0.00%,油气行业0.00%,政府及事0.00%,其他行业0.00%", 97.32,18000.00,397980.00
宇信科技,27609.92,1264534.40,a300674,"银行87.27%,非银金融12.73%", 525.65,40001.00,1832045.80
富满电子,7862.63,223927.60,a300671,集成电路0.00%, 660.53,14189.00,404102.72
科蓝软件,18470.23,417981.39,a300663,软件和信100.00%, -1034.75,30042.52,679862.13
中孚信息,10786.30,641137.64,a300659,信息安全100.00%, -2851.84,21242.60,1262660.43
正元智慧,9179.84,131271.68,a300645,"企事业52.22%,学校47.78%", -2385.07,12666.67,181133.33
彩讯股份,20088.50,457013.38,a300634,电信100.00%, 1749.26,40001.00,910022.75
万兴科技,4979.67,463108.94,a300624,消费类软100.00%, 3262.38,8128.45,755945.85
富瀚微,4189.56,766688.56,a300613,集成电路100.00%, 3034.14,4444.48,813339.84
汇纳科技,5543.25,191242.04,a300609,信息技术100.00%, -771.35,10114.10,348936.62
思特奇,12169.86,194352.72,a300608,电信100.00%, -3645.05,15765.17,251769.78
恒锋信息,9996.80,129858.46,a300605,信息技术100.00%, 441.44,16530.05,214725.31
立昂技术,15173.56,406651.45,a300603,信息技术100.00%, 3198.03,28105.67,753231.84
诚迈科技,5344.09,1571163.05,a300598,软件和信100.00%, -2364.88,8000.00,2352000.00
